model_label,model_name,runtime_seconds,repeng_truthful_lr_test_accuracy,mean_lr_off_domain_transfer,best_lr_test_layer,best_layer_test_accuracy,mean_lr_matrix_off_diagonal
Phi-2,microsoft/phi-2,175.6588990829987,1.0,0.7777777777777778,31,1.0,0.8232323232323232
GPT-2,gpt2,13.739899958003662,0.9090909090909091,0.38888888888888884,0,1.0,0.380050505050505
GPT-2 Medium,gpt2-medium,35.36542129100417,1.0,0.38888888888888884,23,1.0,0.351010101010101
DistilGPT-2,distilgpt2,9.531020000002172,1.0,0.16666666666666666,5,1.0,0.45959595959595956
